,marca,preço,link
2073,Fonte Carregador Para Acer Aspire 3600 19v 3.42a 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271679/fonte-carregador-para-acer-aspire-3600-19v-3-42a-65w-479-voltagem-de-entrada
1698,Fonte Carregador Compativel Com Samsung  Nc215 Rf511 Rv411  19v 3.16a 65w 500,78.99,https://www.kabum.com.br//produto/294700/fonte-carregador-compativel-com-samsung-nc215-rf511-rv411-19v-3-16a-65w-500
1616,Fonte Carregador Para Acer Aspire Es1-431 N15q5 - 19v 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271625/fonte-carregador-para-acer-aspire-es1-431-n15q5-19v-479-voltagem-de-entrada
1696,Fonte Carregador Para Acer Aspire 5330 19v 3.42a 65w 479 - Preto - 110v/220v (bivolt),78.99,https://www.kabum.com.br//produto/288118/fonte-carregador-para-acer-aspire-5330-19v-3-42a-65w-479-preto-110v-220v-bivolt-
1315,Fonte Carregador Para Acer Aspire 4739-6886 19v 3.42 65w 479 - 110v/220v (bivolt),78.99,https://www.kabum.com.br//produto/295513/fonte-carregador-para-acer-aspire-4739-6886-19v-3-42-65w-479-110v-220v-bivolt-
1330,"Fonte Carregador Para Acer Aspire F5-573g-50ks 19v 3,42a 479 - 110v/220v (bivolt)",78.99,https://www.kabum.com.br//produto/313623/fonte-carregador-para-acer-aspire-f5-573g-50ks-19v-3-42a-479-110v-220v-bivolt-
1338,"Fonte Carregador Para Acer Gateway M-6750 19v 3,42 65w 479 - Voltagem De Entrada",78.99,https://www.kabum.com.br//produto/239328/fonte-carregador-para-acer-gateway-m-6750-19v-3-42-65w-479-voltagem-de-entrada
1339,Fonte Carregador Para Acer Travelmate 2480 19v 3.42a 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/250406/fonte-carregador-para-acer-travelmate-2480-19v-3-42a-65w-479-voltagem-de-entrada
1340,Fonte Carregador Acer Aspire Es1-531-c0rk 19v 3.42a 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271686/fonte-carregador-acer-aspire-es1-531-c0rk-19v-3-42a-65w-479-voltagem-de-entrada
1341,Fonte Carregador Para Notebook Acer As1410 19v 3.42a 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271623/fonte-carregador-para-notebook-acer-as1410-19v-3-42a-479-voltagem-de-entrada
